Lead Category,9/1-9/5,% +/-,9/8-9/12,% +/-.1,9/15-9/19,% +/-.2,9/22-9/26,% +/-.3,9/29-9/30,% +/-.4,September,Percentage
Personal Property Under 50k,24,1.0,11,-0.5416666667,18,0.6363636364,3,-0.8333333333,,-1.0,,0
Personal Property Over 50k,,0.0,1,0.0,1,0.0,,-1.0,,0.0,,0
Veh. Sales Under 10k,3,0.0,1,-0.6666666667,4,3.0,3,-0.25,,-1.0,,0
Veh. Sales Over 10k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Heavy Equip. Under 10k,,-1.0,1,0.0,1,0.0,,-1.0,,0.0,,0
Heavy Equip. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
B2B Bus. Under 25k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
B2B Bus. Over 25K,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Real Estate,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Land Auction,,0.0,,0.0,,0.0,,0.0,,0.0,,0
TOTAL:,30,,17,,24,,6,,0,,0,
,,,,,,,,,,,,
Lead Category,12/1-12/5,,12/8-12/12,,12/15-12/19,,12/22-12/26,,12/29/12/31,,December,Percentage
Estate Sales Under 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Estate Sales Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Buss. Liq. Under 50k,,0.0,1,0.0,,-1.0,,0.0,,0.0,,0
Buss. Liq. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Personal Property Under 50k,10,0.0,13,0.3,12,-0.07692307692,3,-0.75,3,0.0,,0
Personal Property Over 50k,,0.0,,0.0,1,0.0,,-1.0,1,0.0,,0
Veh. Sales Under 10k,,0.0,1,0.0,,-1.0,1,0.0,,-1.0,,0
Veh. Sales Over 10k,,0.0,,0.0,,0.0,,0.0,1,0.0,,0
Heavy Equip. Under 10k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Heavy Equip. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
B2B Bus. Under 25k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
B2B Bus. Over 25K,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Real Estate,1,0.0,,-1.0,,0.0,,0.0,,0.0,,0
Land Auction,,0.0,,0.0,,0.0,,0.0,,0.0,,0
TOTAL:,11,,15,,13,,4,,5,,0,
,,,,,,,,,,,,
Lead Category,1/5-1/9,,1/12-1/16,,1/19-1/23,,1/26-1/30,,,,January,Percentage
Estate Sales Under 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Estate Sales Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Buss. Liq. Under 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Buss. Liq. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Personal Property Under 50k,14,3.666666667,7,-0.5,,-1.0,,0.0,,0.0,,0
Personal Property Over 50k,1,0.0,,-1.0,,0.0,,0.0,,0.0,,0
Veh. Sales Under 10k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Veh. Sales Over 10k,,-1.0,,0.0,,0.0,,0.0,,0.0,,0
Heavy Equip. Under 10k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Heavy Equip. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
B2B Bus. Under 25k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
B2B Bus. Over 25K,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Real Estate,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Land Auction,,0.0,,0.0,,0.0,,0.0,,0.0,,0
TOTAL:,15,,7,,0,,0,,0,,0,
